,serial_number,qc_stage,scan_num,scan_tags,analysis_tags,analysis_value
218,20UPGPQ2601163,PCB_POPULATION,001,FlexB,FlexB_3_x,17.996225
219,20UPGPQ2601163,PCB_POPULATION,001,FlexB,FlexB_3_y,-19.973
220,20UPGPQ2601163,PCB_POPULATION,001,HoleTL,HoleTL_x,-26.874155771996527
221,20UPGPQ2601163,PCB_POPULATION,001,HoleTL,HoleTL_y,27.206106460746067
222,20UPGPQ2601163,PCB_POPULATION,001,HoleTL,HoleTL_r,1.506967288680137
223,20UPGPQ2601163,PCB_POPULATION,001,SlotBR,SlotBR_x,26.863792103015133
224,20UPGPQ2601163,PCB_POPULATION,001,SlotBR,SlotBR_y,-26.58301968688932
225,20UPGPQ2601163,PCB_POPULATION,001,SlotBR,SlotBR_r,1.533
226,20UPGPQ2601163,PCB_POPULATION,001,SlotBR,SlotBR_alpha,-0.7853981633974483
227,20UPGPQ2601163,PCB_POPULATION,001,SlotBR,FlexL_line,19.690205504630033
228,20UPGPQ2601163,PCB_POPULATION,001,SlotBR,FlexR_line,-19.858518148041963
229,20UPGPQ2601163,PCB_POPULATION,001,SlotBR,FlexT_line,-20.42897398274537
230,20UPGPQ2601163,PCB_POPULATION,001,SlotBR,FlexB_line,19.9722985464667
231,20UPGPQ2601163,PCB_POPULATION,001,SlotBR,FlexX,39.548711041510884
232,20UPGPQ2601163,PCB_POPULATION,001,SlotBR,FlexY,40.401272475447456
233,20UPGPQ2601163,PCB_POPULATION,001,SlotBR,HoleTL_diameter,3.013934577360274
234,20UPGPQ2601163,PCB_POPULATION,001,SlotBR,SlotBR_width,3.066
235,20UPGPQ2601069,PCB_POPULATION,002,FlexL,FlexL_0_x,-19.73829
236,20UPGPQ2601069,PCB_POPULATION,002,FlexL,FlexL_0_y,19.408775000000002
237,20UPGPQ2601069,PCB_POPULATION,002,FlexL,FlexL_1_x,-19.7136225
238,20UPGPQ2601069,PCB_POPULATION,002,FlexL,FlexL_1_y,5.1087750000000005
239,20UPGPQ2601069,PCB_POPULATION,002,FlexL,FlexL_2_x,-19.70592
240,20UPGPQ2601069,PCB_POPULATION,002,FlexL,FlexL_2_y,-9.991225
241,20UPGPQ2601069,PCB_POPULATION,002,FlexL,FlexL_3_x,-19.7005575
242,20UPGPQ2601069,PCB_POPULATION,002,FlexL,FlexL_3_y,-18.591225
243,20UPGPQ2601069,PCB_POPULATION,002,FlexR,FlexR_0_x,19.8716
244,20UPGPQ2601069,PCB_POPULATION,002,FlexR,FlexR_0_y,-18.591225
245,20UPGPQ2601069,PCB_POPULATION,002,FlexR,FlexR_1_x,19.8572675
246,20UPGPQ2601069,PCB_POPULATION,002,FlexR,FlexR_1_y,-10.691225000000001
247,20UPGPQ2601069,PCB_POPULATION,002,FlexR,FlexR_2_x,19.83299
248,20UPGPQ2601069,PCB_POPULATION,002,FlexR,FlexR_2_y,10.708775000000001
249,20UPGPQ2601069,PCB_POPULATION,002,FlexR,FlexR_3_x,19.831235
250,20UPGPQ2601069,PCB_POPULATION,002,FlexR,FlexR_3_y,18.708775
251,20UPGPQ2601069,PCB_POPULATION,002,FlexT,FlexT_0_x,18.491225
252,20UPGPQ2601069,PCB_POPULATION,002,FlexT,FlexT_0_y,20.39828
253,20UPGPQ2601069,PCB_POPULATION,002,FlexT,FlexT_1_x,10.791225
254,20UPGPQ2601069,PCB_POPULATION,002,FlexT,FlexT_1_y,20.37878
255,20UPGPQ2601069,PCB_POPULATION,002,FlexT,FlexT_2_x,-10.828275000000001
256,20UPGPQ2601069,PCB_POPULATION,002,FlexT,FlexT_2_y,20.344265
257,20UPGPQ2601069,PCB_POPULATION,002,FlexT,FlexT_3_x,-18.171300000000002
258,20UPGPQ2601069,PCB_POPULATION,002,FlexT,FlexT_3_y,20.3468
259,20UPGPQ2601069,PCB_POPULATION,002,FlexB,FlexB_0_x,-18.964525000000002
260,20UPGPQ2601069,PCB_POPULATION,002,FlexB,FlexB_0_y,-20.0103425
261,20UPGPQ2601069,PCB_POPULATION,002,FlexB,FlexB_1_x,-10.508775
262,20UPGPQ2601069,PCB_POPULATION,002,FlexB,FlexB_1_y,-19.9955225
