,serial_number,qc_stage,scan_num,tags,detect_x,detect_y
172,20UPGM22101021,MODULE_ASSEMBLY,001,SensorB,17.542725,-19.873355
173,20UPGM22101021,MODULE_ASSEMBLY,001,SensorB,11.091225,-19.88291
174,20UPGM22101021,MODULE_ASSEMBLY,001,SensorB,-8.889275,-19.908065
175,20UPGM22101021,MODULE_ASSEMBLY,001,SensorB,-18.825525,-19.9171325
176,20UPGM22101021,MODULE_ASSEMBLY,001,FlexT,-18.508775,20.8416325
177,20UPGM22101021,MODULE_ASSEMBLY,001,FlexT,-10.508775,20.84251
178,20UPGM22101021,MODULE_ASSEMBLY,001,FlexT,10.491225,20.86123
179,20UPGM22101021,MODULE_ASSEMBLY,001,FlexT,18.842225,20.881705
180,20UPGM22101021,MODULE_ASSEMBLY,001,FlexB,17.766975,-19.5270675
181,20UPGM22101021,MODULE_ASSEMBLY,001,FlexB,9.94735,-19.518
182,20UPGM22101021,MODULE_ASSEMBLY,001,FlexB,-10.008775,-19.482315
183,20UPGM22101021,MODULE_ASSEMBLY,001,FlexB,-18.457275,-19.499280000000002
184,20UPGM22101021,MODULE_ASSEMBLY,001,FlexL,-19.826075000000003,-18.391225000000002
185,20UPGM22101021,MODULE_ASSEMBLY,001,FlexL,-19.8195425,-5.0912250000000006
186,20UPGM22101021,MODULE_ASSEMBLY,001,FlexL,-19.824807500000002,9.908775
187,20UPGM22101021,MODULE_ASSEMBLY,001,FlexL,-19.836800000000004,18.6298
188,20UPGM22101021,MODULE_ASSEMBLY,001,FlexR,19.7426775,18.728275
189,20UPGM22101021,MODULE_ASSEMBLY,001,FlexR,19.73478,10.387025000000001
190,20UPGM22101021,MODULE_ASSEMBLY,001,FlexR,19.7473575,-10.603475000000001
191,20UPGM22101021,MODULE_ASSEMBLY,001,FlexR,19.7652975,-18.574225
192,20UPGM22101021,MODULE_ASSEMBLY,001,FmarkTL,-18.8443,19.9663
193,20UPGM22101021,MODULE_ASSEMBLY,001,FmarkBL,-18.8248,-18.58885
